date,usdhkd,usdcny,usdhkd_minus_7_80,cu_position
2015-04-02,7.752460,6.187000,-0.047540,inside
2015-04-05,7.751260,6.187000,-0.048740,inside
2015-04-06,7.752280,6.187000,-0.047720,inside
2015-04-07,7.752830,6.188200,-0.047170,inside
2015-04-08,7.750050,6.191400,-0.049950,inside
2015-04-09,7.749570,6.194700,-0.050430,strong_side
2015-04-12,7.749530,6.199100,-0.050470,strong_side
2015-04-13,7.749670,6.204700,-0.050330,strong_side
2015-04-14,7.750290,6.202100,-0.049710,inside
2015-04-15,7.751300,6.193700,-0.048700,inside
2015-04-16,7.751350,6.186900,-0.048650,inside
2015-04-19,7.750640,6.186600,-0.049360,inside
2015-04-20,7.749520,6.191900,-0.050480,strong_side
2015-04-21,7.749550,6.191900,-0.050450,strong_side
2015-04-22,7.749630,6.185700,-0.050370,strong_side
2015-04-23,7.749480,6.188700,-0.050520,strong_side
2015-04-26,7.749510,6.184800,-0.050490,strong_side
2015-04-27,7.749750,6.209000,-0.050250,strong_side
2015-04-28,7.749800,6.196500,-0.050200,strong_side
2015-04-29,7.749740,6.190200,-0.050260,strong_side
2015-04-30,7.749960,6.191000,-0.050040,strong_side
2015-05-03,7.750160,6.191000,-0.049840,inside
2015-05-04,7.752530,6.198400,-0.047470,inside
2015-05-05,7.750550,6.195200,-0.049450,inside
2015-05-06,7.751730,6.189000,-0.048270,inside
2015-05-07,7.753040,6.198000,-0.046960,inside
2015-05-10,7.753300,6.198000,-0.046700,inside
2015-05-11,7.751610,6.199200,-0.048390,inside
2015-05-12,7.751230,6.198900,-0.048770,inside
2015-05-13,7.751060,6.194600,-0.048940,inside
2015-05-14,7.751100,6.191600,-0.048900,inside
2015-05-17,7.750270,6.196100,-0.049730,inside
2015-05-18,7.750980,6.194300,-0.049020,inside
2015-05-19,7.751800,6.196700,-0.048200,inside
2015-05-20,7.752130,6.193700,-0.047870,inside
2015-05-21,7.753180,6.186800,-0.046820,inside
2015-05-24,7.751600,6.187400,-0.048400,inside
2015-05-25,7.751350,6.192000,-0.048650,inside
2015-05-26,7.752330,6.193900,-0.047670,inside
2015-05-27,7.756100,6.191300,-0.043900,inside
2015-05-28,7.752690,6.191200,-0.047310,inside
2015-05-31,7.752620,6.188300,-0.047380,inside
2015-06-01,7.754600,6.189500,-0.045400,inside
2015-06-02,7.755110,6.188200,-0.044890,inside
2015-06-03,7.752860,6.187800,-0.047140,inside
2015-06-04,7.751510,6.191100,-0.048490,inside
2015-06-07,7.751870,6.193400,-0.048130,inside
2015-06-08,7.751470,6.195600,-0.048530,inside
2015-06-09,7.753010,6.195700,-0.046990,inside
2015-06-10,7.752070,6.195800,-0.047930,inside
2015-06-11,7.752850,6.196600,-0.047150,inside
2015-06-14,7.752310,6.198300,-0.047690,inside
2015-06-15,7.752100,6.199000,-0.047900,inside
2015-06-16,7.751580,6.198600,-0.048420,inside
2015-06-17,7.751680,6.199600,-0.048320,inside
2015-06-18,7.751900,6.197900,-0.048100,inside
2015-06-21,7.750870,6.199500,-0.049130,inside
2015-06-22,7.750610,6.199500,-0.049390,inside
2015-06-23,7.752420,6.196800,-0.047580,inside
2015-06-24,7.752280,6.197100,-0.047720,inside
2015-06-25,7.751200,6.199400,-0.048800,inside
2015-06-28,7.751940,6.199000,-0.048060,inside
2015-06-29,7.751730,6.198800,-0.048270,inside
2015-06-30,7.750960,6.191000,-0.049040,inside
2015-07-01,7.751560,6.191500,-0.048440,inside
2015-07-02,7.751710,6.194700,-0.048290,inside
2015-07-05,7.752020,6.195700,-0.047980,inside
2015-07-06,7.752810,6.199200,-0.047190,inside
2015-07-07,7.754960,6.200000,-0.045040,inside
2015-07-08,7.751800,6.199000,-0.048200,inside
2015-07-09,7.751300,6.198800,-0.048700,inside
2015-07-12,7.750610,6.199300,-0.049390,inside
2015-07-13,7.751210,6.198400,-0.048790,inside
